tmin	tmax	tmean	rain	hr
9.7	25.4	17.7	0.0	79.0
13.6	24.0	20.4	0.0	75.0
15.0	23.8	19.5	1.0	77.0
9.8	15.0	11.5	0.3	91.0
9.7	14.2	12.1	0.0	79.0
10.4	14.9	13.1	0.0	86.0
12.4	20.6	16.4	0.0	71.0
7.8	19.0	14.3	2.0	78.0
12.9	15.8	13.7	0.2	90.0
10.5	15.0	13.4	0.0	87.0
11.7	15.3	13.5	0.0	79.0
12.6	18.4	15.7	0.0	79.0
13.0	20.6	16.6	0.0	78.0
10.2	22.8	17.5	0.0	68.0
14.6	20.4	17.1	0.2	82.0
14.0	17.4	15.9	0.0	84.0
14.1	16.8	15.3	2.0	85.0
11.4	15.0	12.9	3.0	94.0
12.4	15.6	13.8	0.0	92.0
12.7	16.0	14.4	0.0	84.0
12.6	16.2	14.4	0.0	75.0
9.5	21.4	15.4	0.0	82.0
9.4	23.4	15.9	0.0	83.0
9.0	24.4	17.5	0.0	90.0
10.7	23.2	17.6	0.0	94.0
13.7	27.2	21.8	0.0	77.0
14.2	21.8	19.1	0.3	88.0
18.5	24.2	20.3	0.0	92.0
18.8	25.8	22.0	0.0	85.0
19.1	26.2	21.9	0.0	87.0
16.4	28.2	21.9	0.1	81.0
14.2	26.2	20.4	0.0	89.0
14.9	26.0	21.5	0.0	79.0
19.8	28.8	24.0	0.0	75.0
20.4	29.1	24.5	0.0	76.0
17.6	30.0	24.2	0.0	83.0
19.3	22.2	20.8	8.0	89.0
16.3	21.3	18.8	0.3	88.0
18.1	21.2	19.5	0.5	94.0
16.8	18.9	17.2	0.5	94.0
16.7	20.6	18.7	0.1	92.0
17.0	20.6	18.8	0.0	84.0
17.4	22.4	19.7	0.7	85.0
17.5	24.2	20.8	0.0	88.0
17.0	28.2	22.9	0.0	82.0
20.0	26.8	23.0	0.0	82.0
18.0	29.2	24.3	0.0	79.0
15.6	29.6	22.6	0.0	85.0
16.2	28.3	22.7	0.0	79.0
16.9	30.4	24.1	0.0	75.0
16.2	27.0	20.5	2.0	68.0
11.2	16.2	12.1	0.2	78.0
9.0	12.0	10.3	0.0	82.0
6.8	10.3	8.8	0.0	79.0
5.7	13.0	8.6	0.0	70.0
1.0	19.5	10.1	0.0	69.0
0.3	20.2	11.5	0.0	63.0
2.0	21.5	12.3	0.0	61.0
1.8	21.5	12.5	0.0	69.0
3.6	22.0	13.8	0.0	50.0
10.2	17.0	12.9	0.0	64.0
2.7	23.5	13.5	0.0	65.0
4.5	24.3	14.7	0.0	59.0
6.0	23.2	14.9	0.0	66.0
6.4	24.5	15.7	0.0	65.0
9.4	27.0	18.5	0.0	62.0
9.0	29.0	19.5	0.0	57.0
15.8	22.7	19.2	0.0	68.0
12.6	26.0	19.8	0.0	70.0
11.5	29.0	20.1	0.0	63.0
13.5	19.2	15.1	0.0	47.0
11.6	17.0	13.8	0.0	54.0
4.2	25.4	15.6	0.0	69.0
9.0	29.3	20.0	0.0	70.0
12.0	31.2	22.3	0.0	62.0
14.1	22.4	18.4	0.0	72.0
11.0	16.0	13.8	0.0	70.0
3.2	21.8	13.7	0.0	62.0
4.4	23.4	15.6	0.0	60.0
7.1	26.7	18.4	0.0	63.0
9.7	25.6	18.5	0.0	70.0
10.4	28.8	20.6	0.0	66.0
12.1	30.7	22.3	0.0	61.0
12.4	31.0	22.5	0.0	61.0
11.8	26.9	20.0	0.0	72.0
11.2	25.2	19.2	0.0	61.0
10.6	22.5	17.8	0.0	67.0
14.4	18.9	16.5	0.0	59.0
12.6	17.4	15.2	0.0	70.0
11.7	15.4	13.6	0.0	63.0
11.2	18.1	14.7	0.0	69.0
10.0	15.0	12.3	0.0	73.0
8.0	15.5	11.8	0.0	62.0
2.4	19.4	11.5	0.0	57.0
0.6	21.8	12.6	0.0	54.0
5.1	27.0	17.6	0.0	55.0
10.6	30.6	20.9	0.0	58.0
13.0	31.8	23.6	0.0	54.0
14.2	31.8	24.1	0.0	63.0
15.0	32.2	24.5	0.0	57.0
12.2	32.4	24.1	0.0	54.0
12.8	32.0	23.4	0.0	56.0
15.8	22.4	17.0	0.0	59.0
13.2	24.5	18.7	0.0	44.0
6.2	25.8	17.7	0.0	43.0
10.2	27.8	20.6	0.0	47.0
16.2	30.2	23.8	0.0	51.0
14.2	31.8	24.3	0.0	53.0
14.2	31.8	23.7	0.0	52.0
15.8	30.4	24.3	0.0	49.0
13.2	30.6	23.5	0.0	54.0
16.0	26.2	21.7	0.0	59.0
14.7	19.6	15.8	0.8	63.0
11.7	15.8	14.0	0.0	73.0
12.0	16.2	13.9	0.0	67.0
4.9	23.8	16.3	0.0	50.0
7.6	23.8	16.9	0.0	53.0
9.3	26.4	19.2	0.0	44.0
9.3	27.7	20.0	0.0	47.0
10.5	30.0	21.9	0.0	46.0
12.5	31.4	23.6	0.0	47.0
13.2	34.6	26.1	0.0	45.0
15.5	35.5	27.0	0.0	42.0
16.2	28.8	21.7	0.0	33.0
9.0	26.1	19.8	0.0	39.0
8.5	31.6	21.7	0.0	47.0
15.9	34.8	26.7	0.0	45.0
20.9	28.8	25.0	0.1	60.0
14.8	22.0	15.8	3.0	87.0
12.4	17.1	15.0	0.2	80.0
12.8	17.2	15.3	0.8	76.0
13.1	16.8	15.2	0.1	83.0
13.2	20.4	17.1	0.0	69.0
15.0	21.4	18.4	0.0	69.0
12.8	24.8	19.8	0.0	65.0
17.0	21.5	19.5	0.1	72.0
16.0	19.7	17.3	0.5	89.0
15.0	25.0	20.4	0.0	45.0
13.2	28.2	21.9	0.0	37.0
11.0	29.6	22.2	0.0	33.0
11.0	30.8	23.1	0.0	38.0
16.6	28.4	23.3	0.0	39.0
12.3	26.4	20.3	0.0	43.0
12.2	23.0	18.1	0.0	33.0
6.5	26.6	18.3	0.0	34.0
7.0	29.3	20.8	0.0	32.0
10.4	32.2	23.4	0.0	34.0
14.6	32.4	24.7	0.0	41.0
17.0	32.0	25.8	0.0	48.0
16.8	31.0	24.8	0.0	61.0
21.2	34.0	28.4	0.0	48.0
20.2	37.9	30.7	28.0	45.0
17.9	29.8	19.6	10.0	93.0
15.6	18.4	17.0	8.0	91.0
15.7	21.7	19.0	0.0	81.0
17.0	25.0	21.0	2.0	71.0
18.0	27.0	22.9	0.0	76.0
18.8	23.8	21.6	0.0	73.0
19.0	25.7	22.6	0.0	36.0
15.0	28.3	23.5	0.0	45.0
18.2	26.8	22.2	0.0	52.0
14.4	30.3	24.0	0.0	51.0
20.2	23.8	21.7	0.0	65.0
19.1	26.0	22.7	0.0	68.0
17.8	31.4	24.8	0.0	57.0
20.4	26.4	21.9	0.0	56.0
18.5	29.8	24.3	0.0	47.0
14.7	34.5	26.8	1.0	40.0
20.9	28.4	24.5	0.0	60.0
20.0	30.6	26.2	1.4	58.0
19.8	32.8	24.8	0.0	69.0
18.8	32.0	25.9	0.0	65.0
20.0	34.0	27.5	43.1	61.0
18.0	26.8	22.7	0.0	73.0
19.2	27.3	23.9	0.5	64.0
20.7	30.0	25.2	0.1	74.0
21.0	31.8	26.7	5.4	69.0
21.4	34.8	27.5	0.5	69.0
17.4	23.8	19.3	0.6	79.0
16.7	26.0	22.5	0.0	62.0
20.3	28.4	25.1	0.0	63.0
21.8	35.4	29.6	0.0	55.0
22.2	37.8	31.4	0.0	55.0
22.5	39.0	31.7	0.0	54.0
20.0	37.5	30.4	85.0	56.0
21.5	25.0	23.6	8.9	86.0
20.0	23.5	21.1	0.5	88.0
19.2	26.8	23.6	0.0	60.0
19.8	26.8	23.9	0.1	71.0
20.4	25.2	22.3	24.0	89.0
18.8	22.0	20.3	0.5	86.0
18.0	29.2	24.3	0.0	67.0
17.4	32.5	26.1	0.0	61.0
18.8	34.2	27.9	0.0	57.0
21.0	34.2	28.9	0.0	65.0
20.3	26.4	21.7	0.2	72.0
18.4	24.3	21.5	0.0	75.0
19.1	23.4	21.5	0.0	84.0
19.8	28.8	25.1	0.0	70.0
21.0	30.8	26.9	0.0	60.0
22.4	32.8	28.7	0.0	63.0
20.8	36.2	30.0	0.0	60.0
21.0	29.8	24.0	2.0	78.0
20.2	26.8	22.5	0.0	81.0
17.5	22.7	19.3	11.0	94.0
17.0	25.0	21.3	0.0	75.0
19.8	32.1	27.0	0.0	65.0
22.0	36.6	30.9	0.0	51.0
22.8	38.0	31.7	0.0	58.0
23.0	36.0	29.7	7.0	62.0
22.2	32.4	27.3	0.0	79.0
22.8	39.0	31.5	0.0	57.0
18.6	31.2	21.5	0.0	63.0
15.7	24.2	19.6	0.0	62.0
16.7	29.8	24.3	0.8	55.0
21.4	31.6	27.5	0.0	60.0
23.0	34.4	29.5	22.0	61.0
17.8	28.8	22.2	7.0	87.0
14.3	26.4	21.1	0.0	58.0
14.8	31.2	24.6	0.0	54.0
18.2	27.4	23.2	19.0	58.0
16.5	21.6	18.5	1.0	88.0
15.2	29.2	23.3	0.0	62.0
16.4	31.0	25.4	0.0	55.0
18.0	34.0	27.4	0.0	51.0
19.9	34.0	28.1	0.0	54.0
18.2	29.0	21.1	6.0	86.0
17.7	22.8	20.4	0.1	74.0
18.2	26.6	23.0	0.0	74.0
21.6	34.6	29.4	76.0	60.0
19.0	30.3	25.3	0.0	68.0
20.3	33.5	28.3	0.0	67.0
22.0	31.3	27.9	3.0	65.0
20.4	33.2	27.8	0.0	65.0
24.2	33.4	28.8	0.0	62.0
22.4	34.3	29.1	0.0	57.0
22.0	36.2	29.9	0.0	62.0
22.6	36.4	30.5	0.5	53.0
22.0	34.4	29.1	0.0	59.0
23.8	36.3	28.5	0.0	59.0
20.3	26.2	22.8	0.4	78.0
18.7	31.4	25.7	0.0	60.0
22.4	31.8	27.1	0.0	57.0
22.8	34.9	29.0	0.0	52.0
21.7	36.4	30.7	10.0	42.0
22.2	35.7	30.3	16.0	58.0
21.1	35.5	29.3	0.0	59.0
23.8	35.2	30.1	0.0	56.0
23.2	34.5	28.6	5.0	59.0
19.5	34.0	27.6	0.0	50.0
20.0	34.8	29.0	0.0	53.0
23.4	37.0	30.4	0.0	45.0
22.7	36.4	30.5	0.0	43.0
22.6	37.6	31.0	64.0	50.0
18.0	29.4	20.9	0.3	88.0
19.2	30.5	25.7	0.0	59.0
18.0	33.3	27.5	0.0	57.0
22.0	34.8	29.5	15.0	51.0
21.5	29.4	24.1	4.0	84.0
19.6	34.2	28.5	0.0	48.0
20.8	36.0	29.6	0.0	49.0
20.8	36.0	30.1	0.0	50.0
21.0	37.6	30.7	0.0	48.0
20.8	30.6	24.2	4.0	74.0
18.9	26.6	22.5	0.0	58.0
20.0	28.2	23.8	0.0	54.0
18.8	31.6	26.6	0.0	44.0
21.9	31.6	26.7	0.0	53.0
20.8	34.0	27.8	0.5	56.0
20.3	35.0	28.3	27.0	54.0
19.2	25.6	21.9	0.3	84.0
20.8	30.0	25.7	0.0	71.0
21.7	34.8	29.7	0.0	65.0
24.2	35.0	30.0	0.5	66.0
23.0	34.2	29.2	0.0	63.0
25.2	32.7	29.0	109.0	71.0
21.0	26.0	23.4	0.7	89.0
21.8	29.3	25.6	1.0	83.0
22.9	32.8	28.3	19.0	73.0
23.6	34.2	28.9	0.0	83.0
23.6	36.0	29.9	7.1	64.0
22.0	27.2	24.8	0.8	86.0
22.9	30.0	25.9	0.2	87.0
22.0	31.8	26.9	0.0	60.0
23.7	34.2	29.2	0.0	70.0
19.9	28.8	23.0	3.0	79.0
17.8	24.2	20.6	0.4	85.0
19.3	27.8	23.8	0.0	69.0
17.5	31.9	25.9	0.0	54.0
18.8	34.2	27.7	0.0	58.0
21.2	34.7	29.0	0.2	56.0
22.1	35.5	30.5	11.0	57.0
19.0	26.8	22.0	3.0	85.0
20.8	29.4	25.3	3.0	77.0
22.3	31.3	27.1	27.0	76.0
20.2	29.3	22.6	52.0	96.0
19.9	31.4	26.7	0.0	62.0
22.2	31.4	26.9	0.1	78.0
20.0	28.0	25.1	49.0	88.0
19.6	26.4	21.3	18.0	93.0
18.9	23.5	21.2	3.0	83.0
19.0	26.7	22.2	1.0	87.0
17.8	30.8	25.2	0.0	64.0
18.8	33.2	27.0	0.0	66.0
21.7	32.3	27.7	0.0	69.0
23.0	29.8	27.2	0.0	71.0
21.4	34.2	28.8	0.0	66.0
22.8	34.2	29.7	0.0	72.0
24.8	30.2	27.8	13.0	72.0
19.4	27.6	20.6	2.0	87.0
18.8	26.0	22.8	0.0	75.0
21.6	28.3	25.0	0.0	81.0
23.0	35.0	29.6	0.0	73.0
23.8	32.7	27.6	67.0	87.0
21.8	29.6	26.1	0.0	82.0
23.2	32.1	28.1	0.0	74.0
23.0	34.2	29.6	0.0	67.0
22.8	31.8	28.4	0.0	70.0
22.5	32.0	27.7	0.0	74.0
21.5	33.3	26.8	55.0	86.0
21.6	27.0	23.9	2.0	94.0
22.7	31.0	26.7	0.0	83.0
23.0	33.3	28.7	0.0	78.0
24.1	34.8	30.0	0.0	76.0
23.5	34.0	29.7	0.0	73.0
22.3	32.3	27.3	36.0	83.0
22.0	30.0	26.2	0.3	79.0
23.5	27.8	25.7	6.0	88.0
21.0	28.4	24.6	0.0	79.0
20.0	25.6	23.0	0.0	78.0
18.8	28.0	24.2	0.0	78.0
20.8	31.5	27.1	0.0	72.0
21.5	33.4	28.7	0.0	71.0
23.4	34.4	30.3	0.0	68.0
25.4	33.0	29.6	152.0	75.0
20.8	28.1	23.0	0.9	95.0
22.4	27.8	24.8	0.2	91.0
23.2	30.6	26.6	9.5	87.0
19.0	25.4	20.7	2.0	92.0
18.2	24.2	20.9	0.0	76.0
17.6	23.2	20.7	0.0	71.0
18.2	24.0	21.4	0.0	79.0
17.8	26.3	22.6	0.4	76.0
20.7	28.5	24.9	0.0	83.0
21.5	32.8	27.4	0.0	74.0
22.9	32.0	27.6	0.0	79.0
22.0	32.2	28.1	0.0	74.0
22.8	34.0	29.0	0.0	73.0
21.6	31.2	26.1	0.6	83.0
23.6	29.6	27.2	0.7	85.0
20.6	27.6	22.1	9.0	87.0
17.6	22.5	19.8	0.0	89.0
16.2	20.2	17.9	1.0	88.0
16.0	19.2	17.2	3.0	90.0
15.4	20.0	18.0	0.4	85.0
17.1	22.0	19.8	0.1	87.0
18.6	25.3	22.0	0.0	81.0
17.8	26.4	22.3	0.0	70.0
19.0	27.0	22.6	0.9	82.0
20.2	25.0	21.8	8.0	88.0
15.1	21.8	18.8	0.8	62.0
15.2	18.4	16.5	2.0	93.0
16.2	18.0	17.1	2.0	97.0
16.9	21.4	18.8	0.0	84.0
14.2	24.8	20.9	0.0	75.0
16.4	25.2	20.7	0.0	72.0
15.7	23.4	19.9	0.0	67.0
16.2	28.9	18.5	0.0	91.0
14.6	26.3	20.9	2.0	81.0
17.2	20.6	18.3	7.0	97.0
16.8	19.4	18.1	0.2	93.0
17.4	21.6	19.5	0.0	89.0
15.6	24.8	21.1	0.0	82.0
18.1	23.8	20.8	0.0	88.0
19.2	20.8	20.0	2.0	95.0
17.0	23.0	20.4	0.0	78.0
15.5	23.8	20.2	0.0	79.0
14.5	27.8	22.0	0.0	70.0
13.2	26.8	21.2	0.0	78.0
18.4	25.3	21.5	0.0	79.0
20.0	28.6	24.5	0.0	72.0
18.9	27.4	23.7	0.0	79.0
19.6	28.2	24.8	0.0	83.0
20.3	30.4	25.1	0.0	86.0
20.8	30.4	26.4	0.0	75.0
18.5	24.6	19.7	0.1	89.0
18.0	20.8	19.5	0.0	89.0
17.9	22.0	19.6	3.0	85.0
15.5	19.2	17.0	7.0	95.0
14.8	18.4	16.5	0.4	76.0
12.4	16.6	14.7	0.0	78.0
9.0	19.0	15.6	0.0	77.0
9.7	21.5	17.2	0.0	81.0
13.4	26.0	20.7	0.0	77.0
14.5	28.0	22.3	0.0	77.0
15.9	26.4	21.7	1.0	81.0
16.5	29.8	24.1	0.0	80.0
17.5	28.3	23.8	47.0	77.0
14.0	22.5	15.2	0.4	90.0
12.0	17.4	15.3	0.3	83.0
12.3	25.9	14.7	0.1	87.0
14.4	18.2	16.7	0.0	86.0
15.0	24.0	19.6	0.0	74.0
15.4	24.8	20.2	0.0	80.0
14.2	25.0	19.9	0.0	85.0
13.8	24.6	19.5	0.0	78.0
17.0	20.8	18.6	0.0	73.0
16.0	18.2	17.1	0.0	83.0
14.0	18.9	16.7	0.0	70.0
14.0	22.6	17.6	0.0	85.0
11.2	18.0	13.5	0.0	71.0
9.9	14.4	12.3	0.0	61.0
8.2	13.4	11.4	0.0	64.0
9.9	15.4	12.7	0.0	61.0
3.4	19.4	12.5	0.0	73.0
5.0	19.8	13.4	0.0	69.0
4.8	20.0	13.2	0.0	72.0
11.6	18.9	15.5	0.0	71.0
7.0	21.5	15.5	0.0	70.0
7.0	22.0	14.8	0.0	73.0
6.7	24.2	16.2	0.0	77.0
9.4	22.3	16.2	0.0	58.0
9.3	15.0	9.9	0.0	77.0
7.6	11.8	9.7	0.0	73.0
8.7	13.0	11.0	0.0	61.0
9.8	14.8	12.1	0.0	73.0
10.5	21.0	15.4	0.0	75.0
7.4	25.5	17.1	0.0	79.0
10.5	26.0	18.9	0.0	76.0
11.5	21.6	17.4	0.0	76.0
10.2	17.0	11.3	3.0	93.0
8.6	12.2	10.4	0.7	91.0
8.5	10.0	9.5	0.9	92.0
8.2	9.9	9.1	2.0	95.0
8.7	13.0	11.2	0.0	86.0
9.6	11.5	10.5	0.0	87.0
7.4	19.5	12.9	0.0	79.0
8.7	22.4	15.4	0.0	67.0
4.8	21.4	13.7	0.0	73.0
4.7	17.7	13.3	0.0	72.0
11.4	17.4	14.7	0.0	73.0
11.8	18.8	15.2	0.0	69.0
6.1	21.2	14.0	0.0	72.0
6.6	23.8	15.9	0.0	70.0
6.2	24.2	16.3	0.0	73.0
7.6	25.8	17.6	0.0	66.0
8.8	26.6	18.8	0.0	63.0
12.0	24.0	18.4	0.0	72.0
16.0	21.9	19.1	0.0	73.0
16.4	26.0	20.6	0.0	78.0
13.0	28.6	21.2	0.0	73.0
12.5	31.2	22.5	0.0	65.0
14.4	24.0	19.5	0.0	68.0
10.6	28.0	19.8	0.0	68.0
12.0	26.8	20.3	0.0	58.0
13.0	20.0	15.5	0.0	69.0
8.0	20.8	15.3	0.0	45.0
5.5	24.4	15.7	0.0	58.0
4.4	23.2	14.8	0.0	63.0
6.4	23.8	15.8	0.0	53.0
9.8	30.2	20.6	0.0	58.0
11.4	22.7	17.7	0.0	45.0
9.7	17.3	12.2	0.0	66.0
3.6	20.8	13.0	0.0	59.0
2.8	21.5	13.5	0.0	60.0
5.6	21.3	13.7	0.0	67.0
6.4	23.5	15.8	0.0	58.0
6.9	25.3	17.5	0.0	69.0
12.8	27.1	21.2	0.0	62.0
14.4	30.8	23.3	0.0	61.0
15.9	22.5	18.6	0.0	67.0
13.5	27.0	21.0	0.0	58.0
9.2	29.4	20.7	0.0	61.0
13.8	30.7	23.5	0.0	57.0
15.5	31.2	23.9	0.0	60.0
19.2	24.8	21.7	0.0	57.0
15.9	21.5	18.4	0.0	60.0
12.4	26.0	19.9	0.0	69.0
14.7	30.6	23.8	0.0	62.0
16.0	33.6	25.8	0.0	65.0
15.5	27.2	22.8	0.0	62.0
16.8	20.6	18.2	0.0	50.0
13.8	23.0	18.4	0.0	44.0
6.3	25.6	17.6	0.0	59.0
9.8	31.2	22.1	0.0	47.0
13.2	34.5	25.1	0.0	48.0
15.4	36.0	26.5	0.0	52.0
17.6	35.7	28.0	0.0	60.0
20.4	37.2	28.9	0.0	55.0
18.2	38.4	28.6	0.0	38.0
14.8	26.0	19.2	0.0	42.0
14.2	27.6	21.0	0.0	40.0
6.0	21.6	16.8	0.0	43.0
13.2	19.5	16.3	0.0	49.0
7.0	25.6	17.5	0.0	49.0
6.5	27.6	18.9	0.0	46.0
8.6	30.8	21.5	0.0	47.0
12.3	34.2	25.2	0.0	40.0
15.6	24.8	20.0	0.0	43.0
14.8	18.4	16.4	0.0	53.0
13.4	24.4	19.7	0.0	34.0
7.6	27.8	19.7	0.0	40.0
13.7	31.3	24.0	0.0	44.0
16.4	32.8	26.6	1.0	43.0
17.4	28.2	19.3	0.0	67.0
15.4	27.6	20.8	0.0	63.0
16.5	26.6	21.5	0.0	70.0
16.4	28.5	24.2	0.0	60.0
21.0	33.2	27.8	0.0	52.0
21.0	37.6	30.6	0.0	46.0
20.4	33.0	27.5	0.0	65.0
18.8	27.2	21.2	0.0	55.0
15.4	22.8	19.4	0.0	35.0
7.9	26.2	19.3	0.0	35.0
7.8	30.8	21.5	0.0	34.0
8.9	30.4	22.9	0.0	30.0
10.6	31.4	22.9	0.0	38.0
10.6	34.0	24.5	0.0	39.0
13.7	34.4	26.1	0.0	39.0
15.4	34.9	27.5	0.0	35.0
16.8	37.0	28.5	0.0	36.0
18.1	34.4	28.0	0.0	41.0
21.3	31.3	26.4	0.0	52.0
20.6	28.4	25.1	0.0	61.0
18.9	35.6	29.5	2.0	44.0
13.6	32.0	27.2	0.0	42.0
19.5	39.8	30.3	0.0	45.0
23.2	39.5	32.4	46.0	46.0
20.8	38.6	31.7	0.0	57.0
23.4	34.4	29.8	0.0	42.0
21.4	33.2	28.9	3.8	50.0
22.1	33.2	28.2	0.5	67.0
20.6	30.3	26.6	0.0	65.0
21.2	34.8	29.3	0.0	61.0
22.9	37.8	32.2	0.0	53.0
23.2	37.6	32.1	0.0	55.0
25.2	39.8	33.2	0.0	50.0
25.8	40.0	33.5	3.0	44.0
16.4	31.6	19.1	11.0	88.0
17.2	26.4	22.1	0.0	59.0
17.6	30.8	25.8	0.0	50.0
19.8	35.3	28.7	0.0	53.0
21.6	38.4	31.6	6.3	48.0
15.2	28.0	16.4	0.0	57.0
13.8	24.9	20.2	0.0	44.0
11.7	30.2	22.2	0.0	50.0
17.6	33.0	26.4	0.0	50.0
18.7	36.6	29.2	0.0	53.0
21.0	39.7	32.4	14.0	43.0
21.7	35.4	29.3	22.0	62.0
21.0	27.4	24.4	20.0	84.0
18.2	24.4	20.2	3.0	81.0
14.2	20.8	18.2	0.0	70.0
15.0	27.6	22.5	0.0	62.0
17.0	31.8	26.2	0.0	60.0
15.1	35.2	29.2	0.0	60.0
15.3	36.0	26.9	0.0	51.0
17.3	25.4	21.7	0.0	56.0
16.8	25.2	21.5	0.0	54.0
15.3	28.8	22.9	0.0	54.0
17.2	34.0	26.9	0.0	49.0
18.5	35.6	29.1	0.0	46.0
20.8	36.4	29.5	0.0	44.0
19.4	25.4	20.7	0.0	76.0
15.6	30.1	25.0	0.0	33.0
12.5	32.6	25.0	0.0	36.0
14.0	34.0	26.7	0.0	50.0
20.8	38.3	31.3	0.0	57.0
23.6	31.5	27.8	0.2	66.0
20.3	35.2	28.9	0.0	55.0
19.2	40.0	33.1	0.0	39.0
23.0	41.0	32.6	0.0	51.0
26.5	37.0	32.6	0.0	55.0
24.7	40.0	31.6	34.0	60.0
21.4	27.0	24.3	15.0	86.0
20.4	28.0	25.1	0.0	75.0
22.6	32.2	28.2	0.0	71.0
24.5	35.6	30.5	0.0	68.0
23.0	36.4	30.7	0.0	53.0
22.5	37.4	31.7	0.0	54.0
21.3	37.0	27.9	60.0	69.0
17.3	22.6	19.4	0.6	94.0
18.0	26.2	22.6	0.0	74.0
